Term,Coefficient,Odds_Ratio,CI_95_low,CI_95_high,p_value,p_value_BH,Reject_at_0_05_BH
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.En Route]",-0.2988739168840163,0.7416529134505541,0.6251260978405735,0.879900944673045,0.0006101321121892725,0.0008205224957028147,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Landing Roll]",-0.6501234605095383,0.5219813287018918,0.4925551430987951,0.5531654908712269,7.0006453750136e-107,4.55041949375884e-106,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Local]",-0.3276682416034727,0.7206020458329064,0.5685308697819506,0.9133493642266522,0.006740072753497434,0.008214463668324998,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Not reported]",-1.0638051343569086,0.3451400044197923,0.2959055464406054,0.40256637323560457,8.251203377313878e-42,2.68164109762701e-41,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Parked]",-2.1153326934521304,0.12059316232301849,0.04071320807084504,0.35719884254171563,0.00013447560688717238,0.0002097819467439889,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Take-off Run]",-0.23099244551923892,0.7937454623474177,0.7527749370732318,0.8369458492423544,1.3104991080725303e-17,3.00643913028404e-17,True
"C(PHASE_OF_FLIGHT, Treatment(reference=""Approach""))[T.Taxi]",-1.0789951087213312,0.3399369537472645,0.2415518848153626,0.4783946629573989,6.036799829018052e-10,1.17717596665852e-09,True
"C(WARNED, Treatment(reference=""No""))[T.Unknown]",-0.10504281213891026,0.9002859785928217,0.8651035000107384,0.9368992764920887,2.40887149089163e-07,4.473618483084456e-07,True
"C(WARNED, Treatment(reference=""No""))[T.Yes]",-0.08535435905467158,0.9181868589187911,0.8768959035383931,0.9614221077886973,0.0002771485563952317,0.00038602834640764417,True
"C(FAAREGION, Treatment(reference=""ASO""))[T.AAL]",0.13924591764615774,1.1494067246471904,0.9631484185332975,1.3716845641256779,0.1226602224059027,0.14069849040677074,False
