field,raw_value,canonical_value
AIRPORT_ID,KDXR,KDXR
AIRPORT_ID,KACV,KACV
AIRPORT_ID,3A2,3A2
AIRPORT_ID,KGON,KGON
AIRPORT_ID,KCRW,KCRW
AIRPORT_ID,KTEB,KTEB
AIRPORT_ID,KCMA,KCMA
AIRPORT_ID,M22,M22
AIRPORT_ID,KSPI,KSPI
AIRPORT_ID,KCRQ,KCRQ
AIRPORT_ID,KRST,KRST
AIRPORT_ID,KTVC,KTVC
AIRPORT_ID,MROC,MROC
AIRPORT_ID,KSNA,KSNA
AIRPORT_ID,KSEA,KSEA
AIRPORT_ID,KIND,KIND
AIRPORT_ID,KLIT,KLIT
AIRPORT_ID,KDRI,KDRI
AIRPORT_ID,KGEG,KGEG
AIRPORT_ID,KOKC,KOKC
AIRPORT_ID,KBKW,KBKW
AIRPORT_ID,PASI,PASI
AIRPORT_ID,KPAO,KPAO
AIRPORT_ID,PALH,PALH
AIRPORT_ID,KABQ,KABQ
AIRPORT_ID,KSFM,KSFM
AIRPORT_ID,KBMI,KBMI
AIRPORT_ID,KISP,KISP
AIRPORT_ID,KGFK,KGFK
AIRPORT_ID,KSPG,KSPG
AIRPORT_ID,KLOM,KLOM
AIRPORT_ID,KPDK,KPDK
AIRPORT_ID,KBKL,KBKL
AIRPORT_ID,KLFT,KLFT
AIRPORT_ID,KROC,KROC
AIRPORT_ID,KROA,KROA
AIRPORT_ID,KLAS,KLAS
AIRPORT_ID,KRNO,KRNO
AIRPORT_ID,KGSO,KGSO
AIRPORT_ID,PHNL,PHNL
AIRPORT_ID,KDWH,KDWH
AIRPORT_ID,KJFK,KJFK
AIRPORT_ID,KMOB,KMOB
AIRPORT_ID,KPAH,KPAH
AIRPORT_ID,KYIP,KYIP
AIRPORT_ID,KHFD,KHFD
AIRPORT_ID,KFTY,KFTY
AIRPORT_ID,KSUS,KSUS
AIRPORT_ID,KUCA,KUCA
AIRPORT_ID,KERI,KERI
AIRPORT_ID,KBDR,KBDR
AIRPORT_ID,KCGX,KCGX
AIRPORT_ID,KGKJ,KGKJ
AIRPORT_ID,KFRG,KFRG
AIRPORT_ID,KAVP,KAVP
AIRPORT_ID,KPOU,KPOU
AIRPORT_ID,KHSV,KHSV
AIRPORT_ID,KHFY,KHFY
AIRPORT_ID,KPWK,KPWK
