SPECIES,WILDLIFE_TYPE,records
Golden eagle,Bird,39
Black-billed magpie,Other wildlife,39
Say's phoebe,Other wildlife,38
Diving duck (Aythya),Bird,38
Common box turtle,Reptile,38
Snakes,Reptile,37
Laysan albatross,Bat,37
Yellow-headed blackbird,Bird,37
Western/Clark's grebe complex,Bird,36
Canada warbler,Other wildlife,36
Black skimmer,Other wildlife,36
American white pelican,Bird,36
Hammond's flycatcher,Terrestrial mammal,36
Mississippi kite,Bird,36
Canvasback,Other wildlife,36
American alligator,Reptile,35
Gray kingbird,Bird,35
MacGillivray's warbler,Other wildlife,34
Clay-colored sparrow,Bird,33
Common swift,Other wildlife,33
Sharp-tailed grouse,Other wildlife,33
Pigeons,Bird,32
Black noddy,Other wildlife,32
Wilson's phalarope,Other wildlife,32
Rusty blackbird,Bird,32
Eared grebe,Other wildlife,32
Blue-billed white tern,Bird,32
Zenaida dove,Bird,32
American bittern,Bird,30
Black-capped chickadee,Other wildlife,30
Lesser yellowlegs,Bird,30
Whimbrel,Other wildlife,30
Wood stork,Other wildlife,30
Black-bellied whistling-duck,Bird,29
White-tailed tropicbird,Bird,29
Little blue heron,Bird,29
Purple finch,Other wildlife,28
Bonin petrel,Other wildlife,28
Nightjars,Other wildlife,28
Prairie warbler,Other wildlife,28
Wedge-tailed shearwater,Other wildlife,27
Hooded merganser,Other wildlife,27
Willow flycatcher,Terrestrial mammal,27
North American porcupine,Other wildlife,27
Sedge wren,Other wildlife,26
Forster's tern,Bird,26
Rufous hummingbird,Bird,26
Short-billed dowitcher,Other wildlife,26
Tundra swan,Other wildlife,26
Northern yellow bat,Bat,25
Swifts,Other wildlife,25
Long-eared owl,Bird,25
Common gray fox,Terrestrial mammal,25
Chuck-will's-widow,Other wildlife,25
Horned grebe,Other wildlife,25
Greater scaup,Other wildlife,25
Willet,Other wildlife,25
Black drongo,Other wildlife,25
Black-necked stilt,Other wildlife,25
White-faced ibis,Other wildlife,25
White-rumped sandpiper,Bird,24
Common poorwill,Other wildlife,24
Long-billed curlew,Other wildlife,24
Western bluebird,Bird,24
Golden-crowned sparrow,Bird,24
Alder flycatcher,Terrestrial mammal,24
Hummingbirds,Bird,23
Redhead,Other wildlife,23
Acadian flycatcher,Terrestrial mammal,23
Solitary sandpiper,Bird,23
Red-necked phalarope,Other wildlife,23
Green-tailed towhee,Other wildlife,22
Orchard oriole,Other wildlife,21
White-eyed vireo,Other wildlife,21
Redpoll,Other wildlife,20
Red-throated loon,Other wildlife,20
Budgerigar,Other wildlife,20
Kentucky warbler,Other wildlife,20
Belted kingfisher,Other wildlife,20
Philadelphia vireo,Other wildlife,20
Blue grosbeak,Other wildlife,19
Eastern whip-poor-will,Bird,19
Black-billed cuckoo,Other wildlife,19
Northern bobwhite,Other wildlife,19
Common pauraque,Other wildlife,19
Common waxbill,Other wildlife,19
Carolina wren,Other wildlife,19
Gunnison's prairie dog,Terrestrial mammal,19
Anna's hummingbird,Bird,19
Gray bat,Bat,18
Brown noddy,Other wildlife,18
Long-billed dowitcher,Other wildlife,18
Summer tanager,Other wildlife,18
Northern cardinal,Other wildlife,18
Philippine collared dove,Bird,17
Deer,Terrestrial mammal,17
Hawaiian duck,Bird,17
Florida softshell turtle,Reptile,17
American avocet,Other wildlife,17
Common goldeneye,Other wildlife,17
Rails,Other wildlife,17
Lazuli bunting,Other wildlife,16
Ash-throated flycatcher,Terrestrial mammal,16
Magnificent frigatebird,Bird,16
Cinnamon teal,Other wildlife,15
Clapper rail,Other wildlife,15
Rock wren,Other wildlife,15
Woodpeckers,Other wildlife,15
Inca dove,Bird,15
Great frigatebird,Bird,15
Mourning warbler,Other wildlife,15
Western wood-pewee,Bird,14
Red-breasted merganser,Other wildlife,14
Worm-eating warbler,Other wildlife,14
Sprague's pipit,Other wildlife,14
Downy woodpecker,Other wildlife,14
Lesser goldfinch,Other wildlife,14
Common merganser,Other wildlife,14
"Herons, egrets, bitterns",Bird,14
"Lagomorphs (rabbits, hares)",Terrestrial mammal,14
California ground squirrel,Terrestrial mammal,14
"Falcons, caracaras",Bird,14
Red-bellied woodpecker,Other wildlife,14
Chestnut-collared longspur,Other wildlife,13
Pond slider,Other wildlife,13
Spotted towhee,Other wildlife,13
Black tern,Bird,13
Mute swan,Other wildlife,13
Pacific wren,Other wildlife,13
Black-throated sparrow,Bird,13
Grebes,Other wildlife,12
Common gallinule,Other wildlife,12
Common garter snake,Reptile,12
Royal tern,Bird,12
LeConte's sparrow,Bird,12
"Plovers, lapwings",Other wildlife,12
Skunks,Terrestrial mammal,12
Cattle,Terrestrial mammal,12
Wapiti (elk),Other wildlife,12
Painted bunting,Other wildlife,12
Marbled godwit,Other wildlife,12
Antillean palm swift,Other wildlife,12
Yellow-throated vireo,Other wildlife,11
Small Indian mongoose,Bird,11
Bullock's oriole,Other wildlife,11
Megabats,Bat,11
Long-billed thrasher,Other wildlife,11
Newell's shearwater,Other wildlife,11
Hooded warbler,Other wildlife,11
Northern saw-whet owl,Bird,11
Common wood-pigeon,Bird,11
Red-breasted nuthatch,Other wildlife,11
Tricolored heron,Bird,11
Black-headed gull,Bird,11
Red avadavat,Other wildlife,10
Red crossbill,Other wildlife,10
Black-throated gray warbler,Other wildlife,10
