model,feature_set,params,mean_pr_auc,std_pr_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_log_loss,std_log_loss
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5420162868003241,0.03427572722222476,0.49709692412612433,0.03965209412584231,0.6213702013219826,0.03459394882852437,0.550876007525868,0.021606705783312807,0.6597141603021196,0.016997265955886517,0.7176678892476785,0.014330356041998775,0.20985467573409383,0.006034828166416865,0.6076644213574224,0.013513023268355543
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5419361060385686,0.0246831174578982,0.4979674689438167,0.036319230908999016,0.6051247611408541,0.041335474452109035,0.5446954415746071,0.018035004302027605,0.6559937421152033,0.01615683695004785,0.7138260439501677,0.02089160863824142,0.20925146333848915,0.008493593258691702,0.6066947028010116,0.02073859909336659
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5417904766737098,0.03525057882558231,0.5052885133234577,0.04330843714971351,0.6168010429340285,0.035630997009938624,0.5537975947405046,0.02235268531835675,0.6631051595048534,0.020034671859038403,0.7179935114258131,0.013610850488163443,0.2107913409231117,0.0052848515270512075,0.6104229765237941,0.011428711484632993
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5417704267253606,0.03477664387895291,0.5835576004077876,0.05118002731715803,0.3554922433839977,0.07625330160683269,0.43806031796482914,0.06496528808083259,0.6173231816286945,0.027145437273332212,0.7184829708309437,0.016613573573024388,0.19155733482552278,0.010914481624692506,0.5648806218993805,0.026458690961100075
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5417382002756516,0.03354810351826706,0.499994156030492,0.04039210512488223,0.6221054066717606,0.03749871926798283,0.5530121309394768,0.02462067779204364,0.6616363535024199,0.020565804654560167,0.7183008269867326,0.01526059646511974,0.20969837349067605,0.006154879933575284,0.6073733500099904,0.013762263270252437
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5417284130739428,0.03024555324581574,0.4955506253345954,0.04038392103067782,0.6098869374051177,0.03789306312508229,0.5454277256861855,0.025337308187293857,0.6558534134146168,0.01926609893072166,0.717115092712355,0.017258629310119997,0.20940467427610604,0.0073614489325111625,0.6065208163931455,0.01701445960812522
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5413731888416843,0.033268842156313684,0.5898032387281551,0.05191961421716587,0.2901179618936709,0.07278361152268645,0.38384182584110776,0.06871952197228194,0.5965459568191702,0.023712347491346746,0.7172278636596683,0.014946867725417782,0.19202864326521546,0.01020543355664613,0.5669223938159991,0.023701234269958828
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5412991275071619,0.03500211994808655,0.5795658824433451,0.06306886484145248,0.32034699215445844,0.0868554246564378,0.40784211998309916,0.08150736831583007,0.6054186770538811,0.03276023861846357,0.7178504544842695,0.016010896526014347,0.19164218142934264,0.010721777054011507,0.5652580352874359,0.025285878518917913
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.541259545272215,0.03423595710844663,0.5640869994438866,0.07158632968451686,0.3140426096280732,0.09389512222980671,0.39843383928960263,0.09243664553951918,0.6004567234529223,0.03550774310367087,0.7158642070053286,0.01745884158603835,0.19206113402821992,0.010956555498997779,0.566264512439699,0.025864915569655096
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5412203568572375,0.03400131731976668,0.5877687469235336,0.04905880327897272,0.33887264695827923,0.07331828188860548,0.42568722169393414,0.06256521708335282,0.6124744267896276,0.024348225111666236,0.7171958093645252,0.015604425779227143,0.19182277632653344,0.01092815240572057,0.5656906944156791,0.02642926275914028
