candidate,target,model_family,feature_set,best_params,artifact,file_size_mb
LANDING_GEAR_DAMAGE__random_forest__extended_geographic,LANDING_GEAR_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 580}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\landing_gear_damage__random_forest__extended_geographic__uncalibrated.joblib,42.04445552825928
LANDING_GEAR_DAMAGE__xgboost__airport_aware,LANDING_GEAR_DAMAGE,xgboost,airport_aware,"{""model__colsample_bytree"": 0.9002787529358022, ""model__gamma"": 0.35403628889802274, ""model__learning_rate"": 0.020846957895078073, ""model__max_depth"": 4, ""model__min_child_weight"": 4, ""model__n_estimators"": 663, ""model__reg_alpha"": 0.0007068974950624604, ""model__reg_lambda"": 0.8620446097910766, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.9043703774069292}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\landing_gear_damage__xgboost__airport_aware__uncalibrated.joblib,0.8878574371337891
LANDING_GEAR_DAMAGE__xgboost__extended_geographic,LANDING_GEAR_DAMAGE,xgboost,extended_geographic,"{""model__colsample_bytree"": 0.9462939903482535, ""model__gamma"": 0.09983689107917987, ""model__learning_rate"": 0.05636592429685256, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 556, ""model__reg_alpha"": 0.05262961031076742, ""model__reg_lambda"": 1.9278935225635085, ""model__scale_pos_weight"": 2.0, ""model__subsample"": 0.9872213843133333}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\landing_gear_damage__xgboost__extended_geographic__uncalibrated.joblib,0.6023120880126953
LIGHTS_DAMAGE__logistic__airport_aware,LIGHTS_DAMAGE,logistic,airport_aware,"{""model__C"": 0.08626678238646635, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\lights_damage__logistic__airport_aware__uncalibrated.joblib,0.050922393798828125
LIGHTS_DAMAGE__logistic__extended_geographic,LIGHTS_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.03381064360280394, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\lights_damage__logistic__extended_geographic__uncalibrated.joblib,0.011959075927734375
LIGHTS_DAMAGE__random_forest__airport_aware,LIGHTS_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 12, ""model__n_estimators"": 308}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\lights_damage__random_forest__airport_aware__uncalibrated.joblib,6.988190650939941
LIGHTS_DAMAGE__random_forest__extended_geographic,LIGHTS_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 12, ""model__n_estimators"": 308}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\lights_damage__random_forest__extended_geographic__uncalibrated.joblib,7.9250078201293945
LIGHTS_DAMAGE__xgboost__airport_aware,LIGHTS_DAMAGE,xgboost,airport_aware,"{""model__colsample_bytree"": 0.8796976554358416, ""model__gamma"": 0.3515094794475889, ""model__learning_rate"": 0.041612918409360634, ""model__max_depth"": 3, ""model__min_child_weight"": 2, ""model__n_estimators"": 301, ""model__reg_alpha"": 0.0009716374629919691, ""model__reg_lambda"": 4.026083236728187, ""model__scale_pos_weight"": 4.0, ""model__subsample"": 0.8252195774541924}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\lights_damage__xgboost__airport_aware__uncalibrated.joblib,0.3759889602661133
LIGHTS_DAMAGE__xgboost__extended_geographic,LIGHTS_DAMAGE,xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8796976554358416, ""model__gamma"": 0.3515094794475889, ""model__learning_rate"": 0.041612918409360634, ""model__max_depth"": 3, ""model__min_child_weight"": 2, ""model__n_estimators"": 301, ""model__reg_alpha"": 0.0009716374629919691, ""model__reg_lambda"": 4.026083236728187, ""model__scale_pos_weight"": 4.0, ""model__subsample"": 0.8252195774541924}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\lights_damage__xgboost__extended_geographic__uncalibrated.joblib,0.3420248031616211
PROPELLER_DAMAGE__logistic__airport_aware,PROPELLER_DAMAGE,logistic,airport_aware,"{""model__C"": 0.2642655549805391, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\propeller_damage__logistic__airport_aware__uncalibrated.joblib,0.050925254821777344
