model,feature_set,parameters,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_brier_score,mean_log_loss,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_macro_f1,mean_weighted_f1
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4556907769350607,0.027566875638010992,0.8854394858828762,0.043164992102241624,0.1583076532698256,0.9467534128134991,0.6398615175249533,0.28022146698601047,0.38959889882593923,0.6808392324887074,0.9368396700303869
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4554437100059176,0.023395891935514074,0.8856983467340971,0.04334483532405114,0.15794617482024179,0.9461888508607261,0.6190516823005071,0.2956645806776331,0.40004146933029244,0.6858909289512127,0.93716690502788
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.455339863253024,0.023915519231204906,0.8849379655928745,0.04326590646450469,0.1580575804681384,0.9464632040854897,0.6279935348411223,0.2901085531739106,0.39669240136943335,0.6842973085933278,0.9371001251847272
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""balanced""}",0.4553038878430121,0.026110930678464372,0.8856955989797821,0.11024460860047884,0.3449951442327728,0.8496167623396472,0.24524750128439615,0.7223015971580043,0.365460757774339,0.639860369505618,0.8812938577349735
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""balanced""}",0.4552709169399815,0.026160653596300876,0.8854186195956064,0.10965687214835784,0.34327852027562855,0.8502584676917827,0.24601707871017733,0.7213971489423812,0.3661614369603761,0.6404148823053765,0.8816941580269285
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4552396021161954,0.021032510593532828,0.8854836793036333,0.04334957183325751,0.15794830812340085,0.9462845507104231,0.6211767367575005,0.29762238566636023,0.4023235683173523,0.6870555459480487,0.9373215418331726
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""balanced""}",0.45517640833620643,0.025020818550555917,0.8849968169840533,0.1092733573863427,0.3422962136360751,0.8506957274414557,0.2465020233438972,0.721150233267111,0.3667160412585933,0.6408286214409767,0.8819643199489364
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45517608496515133,0.023659238682503105,0.885425759897141,0.04330492694025644,0.15784931729903512,0.9462554665777813,0.6200058287103939,0.2978299954220742,0.40217807731999644,0.6869751165994298,0.9373121687318495
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4550486265645408,0.02507658045690503,0.8849755419321033,0.04329672152475302,0.1581970130735697,0.9463284365018355,0.624372413901864,0.29020198930780605,0.3960351758448343,0.6839319598208423,0.9370150340012602
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4549872217896965,0.0262079797550492,0.8851963624681451,0.04320846195378776,0.1585029127536989,0.9464278260828882,0.6345589646719553,0.27560174196874343,0.3840962201932295,0.6780030563546444,0.9363820119588828
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.454966102062237,0.027074579189368224,0.8851574111238734,0.043213437312691824,0.15839917764035732,0.9463959070169586,0.6316716860805291,0.27955837051137983,0.38743302106588084,0.6796599922279973,0.936527674574748
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45491127261559683,0.026464970757532374,0.8852803467927188,0.04322234588450583,0.15846840303902537,0.9461987985566479,0.6283655644715223,0.2777362964080184,0.3850136886774961,0.6783990614339177,0.9362769556873612
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""balanced""}",0.4549076099920524,0.025652983524695267,0.8854619436695922,0.10996333415413677,0.3442244583313446,0.8496823535993409,0.24529570850263255,0.7219582004784277,0.3655216704247761,0.639907045712824,0.8812942976902297
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4548819270027818,0.02539988852391666,0.8855059084209829,0.04327788200300581,0.15812648964819637,0.9462624010024678,0.6231243954559611,0.2902737113103339,0.39585831778646485,0.6838262692609419,0.9369505854867075
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4548166103316544,0.02220338434662591,0.8851597725862737,0.04353926711447783,0.15812315416030018,0.9460089880281524,0.6104224771832105,0.30604792926963764,0.40750300040990667,0.6895620633796247,0.937527709539348
