model,feature_set,parameters,pr_auc,roc_auc,brier_score,log_loss
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.41924894178396754,0.8943032951010299,0.09680008200824666,0.311478306507415
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.41914193733560506,0.8943024405648264,0.09621679131924561,0.31021988336176354
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.4190642107500345,0.8942345786035638,0.09670482043810867,0.31146767118854735
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.41703599314120915,0.894277770988635,0.09625939228753452,0.3102620834361886
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4169289250749766,0.8921922547573032,0.08367249591258363,0.27484130261379053
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.41478209334114047,0.8943203033181558,0.09921345569264135,0.31865603317822244
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4146591636476474,0.8941596917653734,0.09964327764923306,0.31969827500503195
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.41447563636424495,0.8940465452786793,0.09990062295239228,0.32035328470399915
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.4139033364022956,0.8945050422586422,0.09944709991715965,0.3193285409737623
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.413617084979802,0.8935553991223902,0.09872029808724352,0.3170695664961809
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4133536426821318,0.8932426211918567,0.09839528673413059,0.31637954457261014
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.4130631363341039,0.893646251054203,0.09855426069661369,0.31670409212321515
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.41222681431831554,0.8921410591986851,0.09975652547480583,0.31992863422576856
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.41177441187952674,0.8927160029430934,0.09947349915922817,0.3192745212442003
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4115512876654349,0.892223919743657,0.09946640591083562,0.3192833233204814
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4108464825895972,0.8935415261691281,0.09832189645582595,0.31570462535437566
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.41069070445388894,0.892327536678344,0.09946966504396351,0.31969272854469905
random_forest,airport_aware,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10}",0.4096626554278677,0.8927310722470404,0.08757811876214573,0.29071832719007595
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4084687691036575,0.8916538203355194,0.10077378663009945,0.3236538949038115
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.4083158445254954,0.8919190978398457,0.10064587097466861,0.32351190491616877
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.40783534729936205,0.8920242941931708,0.10094740584924661,0.3241691754139696
random_forest,extended_geographic,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10}",0.40593185172467283,0.8927118893826104,0.08702020729645948,0.28575908119605414
random_forest,airport_aware,"{""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10}",0.40581932481057786,0.8888416241968067,0.07204017279178357,0.2452175978260035
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4056367808228748,0.8921709326056881,0.10074349761355358,0.3228107370749889
random_forest,extended_geographic,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10}",0.4056256707143949,0.8928942945552584,0.09188316942108331,0.30035234461994265
random_forest,extended_geographic,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10}",0.4045932851905644,0.8929335325003809,0.08773136298606318,0.2907764007179899
random_forest,airport_aware,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",0.404495452871014,0.8912866939024444,0.09322836133190272,0.30645129393946774
