INDEX_NR,INCIDENT_YEAR,observed_severity,observed_severity_code,xgboost__extended_geographic__prob_M,xgboost__extended_geographic__prob_M?,xgboost__extended_geographic__prob_S+D,xgboost__airport_aware__prob_M,xgboost__airport_aware__prob_M?,xgboost__airport_aware__prob_S+D,random_forest__airport_aware__prob_M,random_forest__airport_aware__prob_M?,random_forest__airport_aware__prob_S+D,random_forest__extended_geographic__prob_M,random_forest__extended_geographic__prob_M?,random_forest__extended_geographic__prob_S+D,logistic__airport_aware__prob_M,logistic__airport_aware__prob_M?,logistic__airport_aware__prob_S+D,logistic__extended_geographic__prob_M,logistic__extended_geographic__prob_M?,logistic__extended_geographic__prob_S+D
1213814,2021,M?,1,0.3477822,0.56503105,0.0871868,0.4109376,0.4739055,0.11515683,0.35413078010599663,0.49239765562930476,0.15347156426469813,0.3561580299709043,0.5001060033570921,0.14373596667200383,0.4286907720097577,0.46831332959985067,0.10299589839039171,0.40793587850092927,0.4906229952319197,0.10144112626715096
1213840,2021,M?,1,0.2655395,0.46789193,0.26656863,0.31534994,0.42497814,0.25967196,0.3201281232241223,0.4048336732759562,0.2750382034999211,0.30794463276511014,0.40532110447567804,0.2867342627592122,0.37196411032791393,0.40316725654791286,0.22486863312417316,0.39952998778276066,0.37055843554662304,0.22991157667061626
1213844,2021,M?,1,0.27218783,0.3187381,0.40907407,0.1962693,0.35637,0.4473607,0.22577418573078115,0.29463845764418545,0.47958735662503316,0.2216765620341668,0.27955468447811394,0.4987687534877188,0.24160312121796795,0.3319468668286728,0.42645001195335935,0.2531736861645195,0.33542635838719426,0.4113999554482863
1213902,2021,M?,1,0.2881246,0.3742798,0.3375956,0.28273776,0.36487275,0.3523895,0.3004011179754267,0.365288632524229,0.3343102495003438,0.2844321068342226,0.3677797308469933,0.347788162318784,0.22873387385662794,0.4230773128311519,0.3481888133122201,0.22720601063547716,0.4310225685508099,0.34177142081371303
1213932,2021,M?,1,0.22247684,0.37270355,0.40481958,0.19553892,0.36950812,0.434953,0.22212826228214733,0.3322123243476569,0.4456594133701961,0.21863977414876884,0.3183667581069577,0.46299346774427336,0.16222589762648718,0.36406681165838295,0.4737072907151298,0.1587871382764946,0.37339649995231367,0.4678163617711917
1214308,2021,M?,1,0.2535402,0.47606176,0.27039802,0.26796865,0.44055685,0.29147455,0.31246372242663933,0.3895712246180448,0.297965052955316,0.3010958250561862,0.3924545506338158,0.30644962430999795,0.29937378590572916,0.4437653643485045,0.2568608497457664,0.30499929600666664,0.4446009428714256,0.2503997611219077
1214335,2021,M,0,0.4068985,0.3481433,0.24495824,0.36183345,0.32728323,0.31088325,0.3410755684174574,0.38152934553585405,0.27739508604668844,0.36006804422996397,0.40229605252260264,0.23763590324743278,0.28513660940450974,0.39345314476287274,0.3214102458326176,0.3003712155421027,0.40407433475252524,0.2955544497053721
1214347,2021,M?,1,0.16067708,0.3436861,0.49563685,0.15475543,0.3221026,0.523142,0.2371972557077981,0.3639707957896757,0.39883194850252607,0.22928559493286257,0.3424303995477785,0.4282840055193589,0.173427566472765,0.27260770741585477,0.5539647261113803,0.17009177351527022,0.24084665981764852,0.5890615666670813
1214348,2021,M?,1,0.3730064,0.41163704,0.21535662,0.373961,0.3919884,0.23405066,0.3472868677250579,0.4123905864517933,0.24032254582314896,0.35791146096180865,0.40361259249874526,0.23847594653944587,0.3633775044119365,0.4242325031071192,0.21238999248094423,0.36064150108096915,0.4242318788683259,0.21512662005070493
1214350,2021,M?,1,0.28877208,0.40954792,0.30168006,0.31277,0.3868018,0.30042818,0.344982101670594,0.3902951474399131,0.2647227508894932,0.34924391549509787,0.3910773933872811,0.25967869111762143,0.35802396994798275,0.3704875378081391,0.27148849224387817,0.3495004432026845,0.36919335421277394,0.28130620258454153
1214354,2021,M?,1,0.41865554,0.48101372,0.10033075,0.45584765,0.43928906,0.10486333,0.3832649387511546,0.4476312352161443,0.16910382603270102,0.381636934076533,0.4535434338090052,0.1648196321144617,0.4440714365653809,0.47755838321770844,0.07837018021691061,0.48776975327675937,0.43837793860245855,0.07385230812078213
1214362,2021,M?,1,0.27164006,0.36011612,0.36824384,0.26566043,0.35142857,0.38291097,0.3141227672415711,0.3717500285569629,0.3141272042014655,0.31178293165488113,0.36750363813596115,0.320713430209157,0.2719297066511364,0.4125732116471727,0.3154970817016909,0.26378900718854176,0.4299352449155834,0.3062757478958749
1214407,2021,M?,1,0.14924969,0.41586274,0.43488756,0.1669213,0.4046876,0.4283911,0.224380312540811,0.3592197822166924,0.41639990524249665,0.21812774108788274,0.35722420178592434,0.42464805712619247,0.15415080932326283,0.37474393198699574,0.4711052586897414,0.1477737124989243,0.38148768824850077,0.4707385992525749
1214422,2021,M?,1,0.2505066,0.35532504,0.39416838,0.24232382,0.35948643,0.39818975,0.3068864135890508,0.4094709905825429,0.2836425958284064,0.2953006757168378,0.39747155609828766,0.30722776818487446,0.2082595611318181,0.28929205943223607,0.5024483794359459,0.2005277973307237,0.2780882775424771,0.5213839251267992
1214443,2021,M?,1,0.16272056,0.3634864,0.4737931,0.17292638,0.3734081,0.45366555,0.22097072920658864,0.3362343333213147,0.4427949374720968,0.2121258008035901,0.3364146201328675,0.451459579063542,0.1552726083684858,0.3413586292838276,0.5033687623476866,0.1402589396796534,0.3642255249015326,0.4955155354188139
1214444,2021,M?,1,0.32576632,0.33609605,0.33813763,0.3422264,0.31824592,0.3395277,0.342597826899463,0.38010064879157895,0.2773015243089582,0.3382700396718194,0.36940142511002333,0.29232853521815716,0.311701497331706,0.32060701898797417,0.3676914836803198,0.32816572057585447,0.33390609646047364,0.3379281829636719
1214463,2021,M?,1,0.22317597,0.30135027,0.4754738,0.22211467,0.343664,0.43422127,0.2412038242162635,0.34026730260630034,0.41852887317743626,0.22727191427662363,0.33689783926404665,0.4358302464593299,0.21523705381515768,0.36134758580429177,0.4234153603805505,0.20498105522891455,0.34531211791487215,0.4497068268562133
1214535,2021,M?,1,0.18933992,0.27058345,0.5400766,0.21035771,0.2717712,0.5178711,0.22813174632497804,0.2896421801767986,0.4822260734982237,0.22972000515857988,0.2920252806690968,0.47825471417232335,0.16142911880516964,0.25341106101795463,0.5851598201768757,0.14975112051961526,0.256934779586657,0.5933140998937279
1214537,2021,M?,1,0.36203676,0.46212268,0.1758405,0.38040608,0.42886657,0.19072731,0.37640774282266753,0.4186089347338795,0.204983322443453,0.36776021284874744,0.4237242074502566,0.20851557970099566,0.35727414222872345,0.4401885880738601,0.2025372696974164,0.3465045582752229,0.467471006378916,0.18602443534586108
1214561,2021,M?,1,0.20063867,0.3256331,0.47372818,0.23220146,0.31157663,0.45622197,0.23271083431224843,0.30821948071178534,0.45906968497596634,0.244179644198546,0.31896264740282826,0.43685770839862587,0.18278009505590476,0.30249732683467223,0.514722578109423,0.17688589043640848,0.3189766549685887,0.5041374545950028
1214588,2021,M?,1,0.24178569,0.3412528,0.4169615,0.21800005,0.34410825,0.43789166,0.23570071900924433,0.29817556585915733,0.4661237151315987,0.23965505765091774,0.30221199735276516,0.4581329449963174,0.17993094992270373,0.3356812649203372,0.484387785156959,0.17388347639564403,0.36353671529533865,0.46257980830901735
1214592,2021,M?,1,0.28558114,0.48226932,0.2321495,0.29357275,0.4453927,0.2610346,0.30983493931558126,0.42791491995303893,0.26225014073138014,0.30503865724065227,0.436134746806497,0.25882659595285057,0.2804839466172119,0.463061661393294,0.2564543919894941,0.267420627921286,0.4915325915233343,0.24104678055537965
1214595,2021,M?,1,0.3741783,0.40943965,0.21638198,0.34857324,0.40005663,0.25137013,0.36112142554257265,0.3726037217357607,0.266274852721667,0.3666551954812314,0.37177836834050176,0.2615664361782666,0.31063491094334567,0.4234744545886551,0.26589063446799915,0.3169610340590197,0.4079386854959186,0.2751002804450617
1214646,2021,M?,1,0.2128321,0.48374677,0.30342114,0.21306092,0.5155895,0.27134955,0.27324407520171085,0.3997596502991329,0.32699627449915636,0.2779987168219541,0.3973940667558618,0.32460721642218415,0.20721483228500667,0.49085135126299295,0.30193381645200035,0.20170486740871166,0.5395604929393889,0.25873463965189947
1214654,2021,M?,1,0.33431742,0.44899267,0.21668988,0.35741752,0.3664475,0.27613494,0.39257043569865663,0.3303340635546227,0.277095500746721,0.39627918911088933,0.3478632610852423,0.2558575498038684,0.3623074306066828,0.3833987530984013,0.254293816294916,0.34067576197114474,0.4074098394383234,0.2519143985905319
1214913,2021,M?,1,0.36948648,0.3546668,0.27584672,0.37033406,0.37366802,0.2559979,0.3412654623513882,0.3645075199614352,0.2942270176871766,0.3552531469416842,0.36262545135950774,0.2821214016988077,0.3729379143793632,0.3854609329876791,0.24160115263295764,0.3733125724712424,0.3958030171775918,0.2308844103511659
1214923,2021,M?,1,0.2815949,0.2949031,0.42350203,0.32997352,0.33597335,0.3340531,0.3008978875545415,0.3315324200240388,0.36756969242142007,0.2981732221635426,0.31874255494646375,0.3830842228899932,0.42635041714045935,0.3283551778776886,0.245294404981852,0.4465049727205845,0.32656652840719685,0.22692849887221878
1214937,2021,M,0,0.29638362,0.57859707,0.1250193,0.3168044,0.5355743,0.14762127,0.32749099502216117,0.46992717004030754,0.2025818349375315,0.3173677998664708,0.5031577403343244,0.17947445979920473,0.28399258351756296,0.5702351405650617,0.14577227591737535,0.2950740978740366,0.5636082696195748,0.14131763250638862
1215006,2021,M?,1,0.37106097,0.46925402,0.15968503,0.3618009,0.46911544,0.1690837,0.3026724312064134,0.4219714627196687,0.2753561060739179,0.299415221124001,0.43803895091070827,0.2625458279652908,0.33918434012135956,0.5130622494250179,0.14775341045362253,0.35710413811977026,0.5127748228024885,0.13012103907774125
1215190,2021,M?,1,0.2700838,0.36354324,0.36637297,0.2635532,0.40142992,0.33501685,0.2942829689392842,0.35291017422978854,0.3528068568309271,0.3009844209509725,0.34489036960711644,0.35412520944191106,0.24553514894416356,0.42337855643713895,0.33108629461869743,0.23959380299501618,0.450601028777574,0.30980516822740983
1215202,2021,M?,1,0.35506037,0.32093704,0.32400265,0.37218678,0.31150115,0.31631207,0.3618463305753458,0.33246119069273855,0.305692478731916,0.353392387671842,0.334115886895841,0.31249172543231674,0.4105312240189156,0.30653953929795014,0.2829292366831343,0.3493510047417119,0.36337059655155324,0.2872783987067349
1215242,2021,M?,1,0.32352716,0.4121637,0.2643092,0.2806923,0.48230958,0.23699807,0.32818518181424655,0.4446099840141616,0.22720483417159232,0.3263363325552798,0.44245859300810564,0.23120507443661417,0.23547928652346,0.532899108798388,0.231621604678152,0.23406762269747217,0.5530896435053342,0.2128427337971937
1215493,2021,M?,1,0.30075112,0.57453525,0.124713644,0.3187696,0.5395148,0.14171566,0.3397240174229566,0.4609184780972077,0.199357504479836,0.3335655563942529,0.49325511913597486,0.17317932446977166,0.2864045424675675,0.5755283929503024,0.13806706458213008,0.30892866151610043,0.5759646801309356,0.11510665835296391
1215607,2021,M?,1,0.4445865,0.3465678,0.20884572,0.42183122,0.35911098,0.21905777,0.4462971570206991,0.3302229265766375,0.22347991640266335,0.4488850381332681,0.318729996325918,0.23238496554081398,0.4166032379784867,0.3899856015366521,0.1934111604848611,0.41839453859077136,0.39504170006746864,0.18656376134175995
1215673,2021,M?,1,0.240562,0.22507825,0.53435975,0.29256007,0.2528518,0.45458812,0.27396279892755737,0.27683418096295054,0.44920302010949253,0.2756949292731005,0.2572385561855937,0.46706651454130543,0.29555295303136114,0.25084955597561154,0.4535974909930274,0.28829731416930293,0.2527089079109004,0.4589937779197967
1215679,2021,M?,1,0.18044029,0.38061923,0.43894053,0.2563901,0.38816315,0.3554468,0.23212163350101123,0.33424271298151026,0.4336356535174782,0.24287836931279552,0.35636449901967326,0.40075713166753085,0.3094893092732719,0.3330697670503379,0.3574409236763902,0.3105861261005594,0.33612311235445586,0.3532907615449847
1215699,2021,M?,1,0.27257314,0.3228279,0.40459898,0.28752124,0.32699627,0.38548252,0.2925299719734032,0.3173497087841817,0.3901203192424156,0.3120779579803376,0.30766371095943806,0.3802583310602241,0.3046295856453671,0.3076258317892059,0.38774458256542704,0.29116153545057105,0.31707089175743614,0.39176757279199287
1215717,2021,M?,1,0.241341,0.64253896,0.11612004,0.30320904,0.55262625,0.14416473,0.35998680716586484,0.4088580584691654,0.2311551343649699,0.3471864252341708,0.4215994436083503,0.23121413115747924,0.3104148891547532,0.5599900582366926,0.12959505260855433,0.30899102207512424,0.5773036031982409,0.1137053747266349
1215796,2021,M?,1,0.3576785,0.48274067,0.15958078,0.376942,0.46432912,0.15872893,0.38551648495529,0.4082453455387532,0.2062381695059569,0.377264926865454,0.42621258298360076,0.19652249015094497,0.367702849122944,0.5125197682659527,0.11977738261110327,0.5904854854085813,0.3351080009540604,0.07440651363735841
1215904,2021,S+D,2,0.40902606,0.33790052,0.2530734,0.4104142,0.31988487,0.26970097,0.3803687347576746,0.3330403288884316,0.28659093635389427,0.39569405013888925,0.3431141736081478,0.2611917762529626,0.3741404148730073,0.36039893993556227,0.2654606451914303,0.38129394465577643,0.3659682691997559,0.2527377861444676
1215918,2021,M?,1,0.3450731,0.47738215,0.17754476,0.35954636,0.4116231,0.22883052,0.36394005543074415,0.3637320444845603,0.27232790008469565,0.3624137978612051,0.38610671928694246,0.2514794828518522,0.3591480867693418,0.432562261298808,0.2082896519318502,0.35921691042962073,0.44616375547035003,0.19461933410002924
1215926,2021,M?,1,0.29028755,0.39633146,0.31338102,0.3202408,0.37509567,0.30466354,0.31335875949027603,0.38732811831137026,0.2993131221983538,0.31116546771907,0.4096216228864836,0.27921290939444626,0.2465880546225987,0.35586709559388824,0.39754484978351307,0.214460043866268,0.3608859255905566,0.4246540305431753
1216430,2021,M?,1,0.363616,0.4386565,0.19772752,0.3923601,0.41940197,0.18823795,0.34919890393787706,0.42246763558088846,0.22833346048123515,0.3439928159293331,0.42773753784152907,0.22826964622913729,0.4531312985483865,0.3747911761263757,0.17207752532523785,0.46146069997655315,0.3743026776444615,0.1642366223789852
1228529,2021,M,0,0.22668761,0.4304355,0.3428769,0.2458797,0.4281595,0.32596081,0.26547161860714613,0.3596601105801043,0.37486827081274937,0.2776175137203563,0.3610102645153942,0.3613722217642497,0.20816939108269178,0.38542722842501864,0.4064033804922896,0.19407355628200604,0.41607471328026674,0.3898517304377272
1216188,2021,M?,1,0.25853288,0.58818066,0.15328646,0.28033936,0.53086454,0.1887961,0.3402454944226453,0.40270698431049956,0.25704752126685526,0.3561684623435118,0.3994182224957355,0.2444133151607529,0.31051233112628807,0.5372347536604675,0.15225291521324444,0.2940623846157079,0.5626133340152266,0.14332428136906536
1216215,2021,M?,1,0.3199194,0.5310695,0.14901114,0.35805428,0.46596724,0.17597844,0.34112463519873415,0.4777565837192515,0.18111878108201443,0.34042665125259974,0.4871858531142045,0.172387495633196,0.39604458411417404,0.433142787969606,0.17081262791622004,0.40748666545788803,0.422185227422337,0.17032810711977506
1216274,2021,M,0,0.41988155,0.27190012,0.30821836,0.41091806,0.29047126,0.29861063,0.41246830395975126,0.2870067931385049,0.30052490290174394,0.41881688386874777,0.2825687334406103,0.2986143826906424,0.42810520281995057,0.30994954745897085,0.2619452497210786,0.430004433433255,0.3086595876254911,0.2613359789412538
1216282,2021,M?,1,0.27770397,0.51791584,0.20438023,0.28962985,0.50621945,0.2041507,0.3304464826254549,0.4407828322402168,0.22877068513432874,0.3220433586900869,0.4563437437752885,0.22161289753462474,0.3116991993642955,0.5101384214091317,0.17816237922657277,0.30910974840585415,0.52664791924415,0.16424233234999583
1216307,2021,M?,1,0.32447085,0.48192167,0.19360745,0.3762781,0.4334164,0.19030556,0.3213780872103171,0.4591635332240788,0.2194583795656047,0.3173345380523011,0.4640387370091825,0.21862672493851604,0.40478601908548933,0.4010744062947201,0.1941395746197906,0.410844972474843,0.39784981441678396,0.191305213108373
1216328,2021,M?,1,0.28276756,0.557224,0.1600085,0.3553726,0.4637816,0.18084578,0.34773004252154893,0.48069604888014,0.17157390859831115,0.35027964366172293,0.4747852516806316,0.17493510465764522,0.3568786578623589,0.4101907875388552,0.2329305545987859,0.3422803571078478,0.42263530249817566,0.23508434039397663
1216334,2021,M?,1,0.2535972,0.25856817,0.48783463,0.28636125,0.3209934,0.3926454,0.2723968489042175,0.32400356410200437,0.40359958699377846,0.26532175801250096,0.3283570180093161,0.4063212239781825,0.3323008388380899,0.3388042418249604,0.32889491933694964,0.3577661895731598,0.2924584969067945,0.3497753135200457
1216379,2021,M,0,0.5681579,0.26245183,0.16939023,0.43049294,0.29061761,0.27888945,0.4513501443542915,0.32932593491191897,0.21932392073378912,0.4544337766303701,0.341912206359466,0.20365401701016395,0.376789662039768,0.2959711509041711,0.327239187056061,0.40333642133064895,0.2993461997769804,0.29731737889237053
