model,feature_set,params,mean_macro_f1,std_macro_f1,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_weighted_f1,std_weighted_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,std_log_loss,mean_brier_multiclass,std_brier_multiclass,mean_macro_average_precision_ovr,std_macro_average_precision_ovr,mean_macro_roc_auc_ovr,std_macro_roc_auc_ovr,mean_precision_S+D,std_precision_S+D,mean_recall_S+D,std_recall_S+D,mean_f1_S+D,std_f1_S+D
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.42427515997631715,0.045506969530781705,0.43710077170594686,0.02503117543201326,0.4545401442349687,0.01657806813582852,0.46327509104097225,0.03488087395609728,0.4545401442349687,0.01657806813582852,1.04499634870012,0.01607165634695095,0.6333213366885164,0.013303540991394096,0.4401726620960266,0.02433960750155691,0.6339951313860415,0.008773897975887422,0.3786604172458298,0.11395287207637075,0.48704765788498977,0.05076402075197543,0.4118683550372671,0.07884135914127742
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.42411961658278774,0.039267805615228794,0.435755216069985,0.021421651962653374,0.455329336296779,0.01340763943218603,0.46162048222418867,0.02431262381563988,0.455329336296779,0.01340763943218603,1.0448789092362383,0.019751072155458595,0.6341709364431137,0.01613214756524663,0.44147137038320955,0.02506763668417075,0.6345538541729567,0.008535518255138163,0.37563945605806176,0.11088550685364296,0.4955001012658216,0.04986163460666646,0.4140089561409007,0.07751684612019363
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.42406219343688567,0.04047802772920105,0.4363576409352591,0.02097321994954611,0.4565292693578133,0.01729632649551339,0.460736598698833,0.026188192935912,0.4565292693578133,0.01729632649551339,1.0476648844174505,0.019939896893303242,0.6355857116841135,0.0159978971291585,0.4399459393808341,0.024949522836956204,0.6332502757711129,0.008024547034942217,0.37760191655878145,0.11092983714429867,0.5001300036217003,0.0615795317097847,0.41624365486435055,0.07908447024654079
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.42404033929837415,0.04324193833939284,0.43574766164311046,0.024497832659057858,0.4547246028127594,0.015528106761357043,0.46223530652692035,0.029565046192802744,0.4547246028127594,0.015528106761357043,1.052730854804165,0.027363029830159778,0.6384847429045831,0.021237628336262547,0.4347073172319238,0.026014986243077052,0.629595472735064,0.011544190160787643,0.38921570038029485,0.11905896031268176,0.5000585783010827,0.06790929551081078,0.42358776139675214,0.08906203522765008
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.42394089046460504,0.041644772703880076,0.43544473247918186,0.023118241058502124,0.4569051800887178,0.01685985581647369,0.460182424288852,0.027579253168855858,0.4569051800887178,0.01685985581647369,1.0489288864750932,0.022888075281750686,0.6366851263014207,0.017496158943338412,0.4379782153007965,0.023905495797777232,0.6322041895693038,0.009610967049783103,0.38032285459237386,0.11027659149931018,0.5094234656730687,0.06758611721840463,0.4212852123242888,0.07904228375880307
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.4238721424370314,0.04327314548015426,0.4364220675490282,0.024230659005707648,0.4549419295787839,0.018449995833786623,0.46291070764708253,0.03317088957402931,0.4549419295787839,0.018449995833786623,1.0457445523761735,0.016356721575087923,0.6337286743059286,0.013415282899401346,0.440905269955158,0.025046269404856096,0.6343447572709258,0.00821632915872098,0.3800251131952274,0.11260614401508554,0.4936181330118582,0.05729204117875799,0.4146101235527869,0.07561996531407707
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.4238043640703137,0.0422397050121934,0.435686501417108,0.022566786151354663,0.4560528673965808,0.01623158322225926,0.4598423321285896,0.028279753360242205,0.4560528673965808,0.01623158322225926,1.0485420275533137,0.01866134276544016,0.6362096703558381,0.015460654032239667,0.438457905686363,0.023982790439050522,0.6327414858344753,0.007259110741949238,0.3773663558168956,0.11204955891442044,0.5015509541317381,0.059794605401332294,0.4165490788526804,0.08108138452733829
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.42372766191805644,0.0422797011911044,0.43625639946274164,0.023225670197738687,0.45523198389715114,0.016939035917540403,0.4605758720397808,0.0278732233555291,0.45523198389715114,0.016939035917540403,1.0457756883942904,0.02092627173704645,0.6346268826018165,0.01680951334848241,0.44168968437234923,0.024562886645761145,0.6350319431805557,0.008597340692851129,0.37838178295575864,0.11444240454551968,0.49554199607941385,0.05414848240625081,0.4148675259544009,0.08015470208127974
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.42371436190609496,0.04211007536135497,0.4358712277047433,0.023635458207366792,0.45456806144186324,0.01508831167501149,0.4626164687807573,0.032014657754977985,0.45456806144186324,0.01508831167501149,1.0454954152117568,0.016104249427702822,0.6335714787913999,0.013243338830752058,0.44064601641754314,0.02540088775314803,0.6340703975445625,0.008350998786974694,0.3791966557243591,0.11283361459241495,0.4908202327059554,0.05493439083187986,0.41309200933703893,0.07536777863614436
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.42367934543290103,0.04122571612089075,0.4353012731054388,0.023057570318635465,0.4544545245124037,0.01361889019447304,0.4610251968114447,0.02603049399550433,0.4544545245124037,0.01361889019447304,1.044765499011574,0.019791437640903707,0.6339368760685011,0.01609088564625351,0.44209019211010536,0.024678465353325924,0.6351085934001677,0.008480317579778419,0.3779350960159283,0.11494718358512035,0.49392936519308633,0.051384906455706376,0.4145519787823533,0.08221435749631642
