,count,mean,std,min,25%,50%,75%,max
STR_TAIL,348146.0,0.01009346653415521,0.09995807704724062,0.0,0.0,0.0,0.0,1.0
DAM_TAIL,348146.0,0.0031452321727091508,0.05599418445814952,0.0,0.0,0.0,0.0,1.0
STR_LGHTS,348146.0,0.004641730768126016,0.06797204112329344,0.0,0.0,0.0,0.0,1.0
DAM_LGHTS,348146.0,0.0030676785026971442,0.0553016874585853,0.0,0.0,0.0,0.0,1.0
STR_OTHER,348146.0,0.1393323490719411,0.3462935027182844,0.0,0.0,0.0,0.0,1.0
DAM_OTHER,348146.0,0.007416428739666692,0.0857988721902968,0.0,0.0,0.0,0.0,1.0
REMAINS_COLLECTED,348146.0,0.54045716452293,0.49836124571331414,0.0,0.0,1.0,1.0,1.0
REMAINS_SENT,348146.0,0.18282559615793373,0.3865240311806134,0.0,0.0,0.0,0.0,1.0
NR_INJURIES,302.0,1.2781456953642385,0.6638150124311116,1.0,1.0,1.0,1.0,7.0
NR_FATALITIES,25.0,2.08,1.6309506430300091,1.0,1.0,2.0,2.0,8.0
IMAGE,348146.0,0.033115417095126755,0.17893819663623609,0.0,0.0,0.0,0.0,1.0
TRANSFER,348146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
