AIRPORT_ID,AIRPORT,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
LSZH,ZURICH,15,2,13,13.333333333333334,3.73604698913593,37.88249920651624
CYMX,MONTREAL INTL (MIRABEL),15,0,15,0.0,0.0,20.388926630434785
CO80,FOWLER ARPT,15,0,15,0.0,0.0,20.388926630434785
KLOM,WINGS FIELD ARPT,15,8,7,53.333333333333336,30.11663015105079,75.19077474025354
KPIB,HATTIESBURG-LAUREL,15,7,8,46.666666666666664,24.80922525974644,69.8833698489492
KHYS,HAYS REGIONAL,15,1,14,6.666666666666667,1.1866588606194854,29.81707755242399
KRKD,KNOX COUNTY REGIONAL,15,4,11,26.666666666666668,10.89727610318281,51.95088965768675
KUAO,AURORA STATE ARPT,15,3,12,20.0,7.047420643610414,45.18593533465045
KCLM,WILLIAM R FAIRCHILD INTL ARPT,15,2,13,13.333333333333334,3.73604698913593,37.88249920651624
CYWG,WINNIPEG INTL,15,2,13,13.333333333333334,3.73604698913593,37.88249920651624
CYHM,HAMILTON,15,3,12,20.0,7.047420643610414,45.18593533465045
KOLV,OLIVE BRANCH ARPT,15,7,8,46.666666666666664,24.80922525974644,69.8833698489492
KRYN,RYAN FIELD ARPT,15,4,11,26.666666666666668,10.89727610318281,51.95088965768675
KBVI,BEAVER COUNTY ARPT,15,2,13,13.333333333333334,3.73604698913593,37.88249920651624
KBJI,BEMIDJI REGIONAL ARPT,15,3,12,20.0,7.047420643610414,45.18593533465045
KGVT,MAJORS ARPT,14,1,13,7.142857142857142,1.2721886112291636,31.469269553957812
KLGU,LOGAN-CACHE ARPT,14,5,9,35.714285714285715,16.344490737202737,61.23599531785959
KFKL,VENANGO REGIONAL,14,2,12,14.285714285714285,4.009307373792118,39.941907763863696
KADM,ARDMORE MUNICIPAL,14,2,12,14.285714285714285,4.009307373792118,39.941907763863696
KOSH,WITTMAN REGIONAL ARPT,14,8,6,57.14285714285714,32.59026690286936,78.61949006959948
TKPK,ROBT L BRADSHAW INTL,14,0,14,0.0,0.0,21.531701192718142
KNGU,NORFOLK NAVAL STATION,14,2,12,14.285714285714285,4.009307373792118,39.941907763863696
KJKA,JACK EDWARDS ARPT,14,2,12,14.285714285714285,4.009307373792118,39.941907763863696
MHTG,TONCONTIN INTL,14,9,5,64.28571428571429,38.76400468214042,83.65550926279727
KBIV,TULIP CITY ARPT,14,5,9,35.714285714285715,16.344490737202737,61.23599531785959
KMQJ,INDIANAPOLIS REGIONAL ARPT,14,3,11,21.428571428571427,7.571248336916369,47.589723773208284
CO90,USAF ACADEMY BULLSEYE AUX AIRSTRIP,14,0,14,0.0,0.0,21.531701192718142
KTVL,LAKE TAHOE ARPT,14,3,11,21.428571428571427,7.571248336916369,47.589723773208284
PACD,COLD BAY ARPT,14,3,11,21.428571428571427,7.571248336916369,47.589723773208284
KDED,DELAND MUNICIPAL ARPT-SIDNEY H TAYLOR FIELD,14,4,10,28.57142857142857,11.721187910109098,54.64954117248438
EGCC,MANCHESTER,14,0,14,0.0,0.0,21.531701192718142
KTVF,THIEF RIVER FALLS REGIONAL,14,3,11,21.428571428571427,7.571248336916369,47.589723773208284
KVGT,NORTH LAS VEGAS,14,2,12,14.285714285714285,4.009307373792118,39.941907763863696
KSFZ,NORTH CENTRAL STATE ARPT,14,1,13,7.142857142857142,1.2721886112291636,31.469269553957812
KAST,ASTORIA REGIONAL,14,5,9,35.714285714285715,16.344490737202737,61.23599531785959
KWHP,WHITEMAN AIRPORT,14,3,11,21.428571428571427,7.571248336916369,47.589723773208284
KDRT,DEL RIO INTL ARPT,14,0,14,0.0,0.0,21.531701192718142
EGSS,STANSTEAD-LONDON,14,1,13,7.142857142857142,1.2721886112291636,31.469269553957812
KMKT,MANKATO REGIONAL ARPT,14,3,11,21.428571428571427,7.571248336916369,47.589723773208284
KJVY,CLARK COUNTY REGIONAL ARPT (IN),13,11,2,84.61538461538461,57.764829491368985,95.6742736817262
KMEI,KEY FIELD AIRPORT,13,0,13,0.0,0.0,22.810184305529166
KISO,KINSTON REGIONAL JETPORT AT STALLINGS FIELD,13,4,9,30.76923076923077,12.680497161618087,57.63111218666236
KIKV,ANKENY REGIONAL,13,5,8,38.46153846153847,17.70944658123682,64.47751902773146
TTPP,PIARCO TRINIDAD,13,4,9,30.76923076923077,12.680497161618087,57.63111218666236
KGAO,SOUTH LAFOURCHE LEONARD MILLER  JR ARPT,13,2,11,15.384615384615385,4.325726318273798,42.23517050863101
KTVY,BOLINDER FIELD - TOOELE VALLEY ARPT,13,1,12,7.6923076923076925,1.3710066379696322,33.31453392824736
KIWD,GOGEBIC-IRON COUNTY ARPT,13,3,10,23.076923076923077,8.179379092465714,50.256873995126924
KFMN,FOUR CORNERS REGIONAL,13,3,10,23.076923076923077,8.179379092465714,50.256873995126924
PGWT,TINIAN INTL,13,2,11,15.384615384615385,4.325726318273798,42.23517050863101
KAHN,ATHENS/BEN EPPS ARPT,13,6,7,46.15384615384615,23.205754301488142,70.85656756816796
KFHU,SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD,13,1,12,7.6923076923076925,1.3710066379696322,33.31453392824736
MKJP,NORMAN MANLEY INTL,13,0,13,0.0,0.0,22.810184305529166
KVIS,VISALIA MUNICIPAL ARPT,13,2,11,15.384615384615385,4.325726318273798,42.23517050863101
