SPECIES,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Lark bunting,167,2,165,1.1976047904191618,0.3290362993248832,4.260946468338261
Dunlin,167,9,158,5.389221556886228,2.8608433467822456,9.92386482733928
Green-winged teal,165,34,131,20.606060606060606,15.137214272779614,27.412489117853966
Sora,162,12,150,7.4074074074074066,4.287802502319975,12.500265147775059
New World wood-warblers,160,1,159,0.625,0.11041033543914801,3.4549845337515817
Common myna,160,4,156,2.5,0.9763834597428893,6.2510850220102165
Semipalmated plover,160,0,160,0.0,0.0,2.344703665003271
Northern shoveler,158,56,102,35.44303797468354,28.410808213585913,43.16633882401134
Lapland longspur,157,2,155,1.2738853503184715,0.35003598469303465,4.525319644696378
White-/golden-crown sparrow complex,156,5,151,3.205128205128205,1.3766356790267202,7.2829372982207525
Yellow-billed cuckoo,156,22,134,14.102564102564102,9.501044890064092,20.429586434947666
Vesper sparrow,154,1,153,0.6493506493506493,0.11471549639692283,3.5862099883928917
"Ducks, geese, swans",152,74,78,48.68421052631579,40.86903122895866,56.564260010351
Turtles,152,0,152,0.0,0.0,2.4650670937670043
Scaly-breasted munia,150,1,149,0.6666666666666667,0.11777710231334546,3.6793752933975674
Fox sparrow,149,5,144,3.3557046979865772,1.4416893720131245,7.614483816438186
Gadwall,148,52,96,35.13513513513514,27.908509805952082,43.11392409885399
Silver-haired bat,147,1,146,0.6802721088435374,0.1201827420326599,3.752488987781927
White-crowned sparrow,146,5,141,3.4246575342465753,1.4714906477450593,7.765997473043827
"Finches, euphonias",146,2,144,1.36986301369863,0.37646536254598156,4.856794292983591
Varied thrush,146,19,127,13.013698630136986,8.491894714785195,19.431992910547162
Yellow-crowned night heron,141,12,129,8.51063829787234,4.935325776791658,14.286776160773243
Rough-legged hawk,138,12,126,8.695652173913043,5.044151102507098,14.584505088624416
Red-shouldered hawk,136,9,127,6.61764705882353,3.520277178641907,12.09853725139894
Golden-crowned kinglet,134,0,134,0.0,0.0,2.78696706944783
Wild turkey,134,39,95,29.1044776119403,22.08125370887301,37.29240417089624
American wigeon,131,48,83,36.6412213740458,28.88025121130491,45.16336737524404
Orange-crowned warbler,128,0,128,0.0,0.0,2.913799589810803
Black-and-white warbler,127,2,125,1.574803149606299,0.432926528219783,5.5602744109310684
Wood thrush,126,7,119,5.555555555555555,2.7168409228588994,11.024209711144382
Northern house wren,126,2,124,1.5873015873015872,0.436371038878235,5.602987687446764
Ruddy duck,125,29,96,23.200000000000003,16.666666666666668,31.33149541762909
White-throated swift,124,4,120,3.225806451612903,1.2614414984325009,8.001271108418475
Wood duck,123,33,90,26.82926829268293,19.78838248441644,35.273679173588505
Western tanager,123,6,117,4.878048780487805,2.254546688454553,10.234731277134024
Eastern kingbird,121,2,119,1.6528925619834711,0.4544498317862633,5.826789755018134
Munias,119,0,119,0.0,3.469446951953614e-16,3.1272793581327494
Gopher snake,115,0,115,0.0,0.0,3.2325381011363024
Veery,113,8,105,7.079646017699115,3.6307273195638716,13.350895664031015
Mountain bluebird,113,1,112,0.8849557522123894,0.15638358136017966,4.843205606052523
Desert cottontail,112,0,112,0.0,0.0,3.3162525379483707
Indigo bunting,112,2,110,1.7857142857142856,0.4910708625338288,6.278172656202099
Ring-necked pheasant,112,20,92,17.857142857142858,11.867570210914295,25.978592134909658
Plovers,112,2,110,1.7857142857142856,0.4910708625338288,6.278172656202099
Blue-winged teal,111,40,71,36.03603603603604,27.709760128022253,45.29653724157203
Northern parula,109,1,108,0.9174311926605505,0.16212895577145392,5.014685268769849
Evening bat,108,2,106,1.8518518518518516,0.5093117606642765,6.502032855292575
Blue-gray gnatcatcher,107,1,106,0.9345794392523363,0.16516291511190045,5.105060538898146
Scarlet tanager,107,4,103,3.7383177570093453,1.4631662528342755,9.220187289518053
Great-tailed grackle,106,2,104,1.8867924528301887,0.5189500019088127,6.6200574415370195
Lesser scaup,105,43,62,40.95238095238095,32.0277462985214,50.51569297469766
Brewer's blackbird,105,3,102,2.857142857142857,0.9763662138955603,8.065764736035346
Greater white-fronted goose,105,61,44,58.0952380952381,48.535520565824044,67.0835074528747
Eurasian collared dove,105,3,102,2.857142857142857,0.9763662138955603,8.065764736035346
Nashville warbler,104,0,104,0.0,0.0,3.5622616875120547
Brown pelican,104,36,68,34.61538461538461,26.167564621281443,44.15928512872227
Black-throated blue warbler,104,0,104,0.0,0.0,3.5622616875120547
Black-tailed prairie dog,102,0,102,0.0,0.0,3.629574760774591
White-tailed kite,102,4,98,3.9215686274509802,1.5353823095438888,9.652657175875834
Bay-breasted warbler,101,0,101,0.0,0.0,3.6641943655953355
Gray-cheeked thrush,100,2,98,2.0,0.5501852234968185,7.001316294199365
American black duck,100,11,89,11.0,6.254131955225126,18.631463027903024
Northern waterthrush,98,2,96,2.0408163265306123,0.5614496475772293,7.138350826885074
Western flycatcher,98,0,98,0.0,0.0,3.7721324095458044
Cave swallow,97,2,95,2.0618556701030926,0.5672566204243078,7.208899251755427
Magnolia warbler,96,0,96,0.0,0.0,3.8476947484815947
Boat-tailed grackle,95,1,94,1.0526315789473684,0.18605283639709957,5.724009323665061
Vaux's swift,94,1,93,1.0638297872340425,0.1880347339052478,5.782431816110288
Bonaparte's gull,93,4,89,4.301075268817205,1.6850881320861149,10.542714795581334
Common raven,93,16,77,17.20430107526882,10.876471240246264,26.134069684315087
Field sparrow,93,0,93,0.0,0.0,3.96689026203615
Buff-breasted sandpiper,92,1,91,1.0869565217391304,0.19212795763616508,5.902928886156091
Mule deer,92,78,14,84.78260869565217,76.063304033462,90.7135444331746
Chestnut munia,91,1,90,1.098901098901099,0.19424213233478899,5.965080359061393
Warbling vireo,88,2,86,2.272727272727273,0.625479714413793,7.912699062959424
Baird's sandpiper,87,2,85,2.2988505747126435,0.6326952471398799,7.999473274770788
Short-billed gull,87,7,80,8.045977011494253,3.9519768444352343,15.688364144715111
Eastern phoebe,84,1,83,1.1904761904761905,0.21045289015878751,6.439699201788534
Ruby-throated hummingbird,82,0,82,0.0,0.0,4.47521947400794
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras",81,23,58,28.39506172839506,19.728595019327255,39.018057566196816
Anhinga,81,42,39,51.85185185185185,41.135459221117735,62.40054198583734
Pectoral sandpiper,81,10,71,12.345679012345679,6.8460422625033654,21.255266529410033
Diamondback terrapin,80,0,80,0.0,0.0,4.5819736264575095
Loggerhead shrike,80,0,80,0.0,0.0,4.5819736264575095
Black-throated green warbler,79,0,79,0.0,0.0,4.637283683559951
Eastern wood-pewee,79,1,78,1.2658227848101267,0.22379362307692122,6.827736043177712
Yellow-breasted chat,78,1,77,1.282051282051282,0.22666733888537863,6.911023028849367
Wrens,77,1,76,1.2987012987012987,0.22961581721549496,6.996366845176145
"Falcons, kestrels, falconets",75,7,68,9.333333333333334,4.594793932894483,18.03488380068779
Rabbits,75,0,75,0.0,0.0,4.872554590470005
Ferruginous hawk,74,5,69,6.756756756756757,2.920365554856204,14.861386104924684
Lark sparrow,74,2,72,2.7027027027027026,0.7443196562309684,9.329471221654376
Rose-breasted grosbeak,74,1,73,1.3513513513513513,0.23894018749393217,7.265530429759565
Alder/willow flycatcher complex,72,1,71,1.3888888888888888,0.2455888640432169,7.456780284286987
Brant,71,17,54,23.943661971830984,15.520813325016364,35.04144082240967
"Pigeons, doves",71,7,64,9.859154929577464,4.858220632532897,18.980927648636932
Bobolink,71,1,70,1.4084507042253522,0.24905391347781955,7.556230847938291
Thrushes,69,4,65,5.797101449275362,2.2772020303367495,13.979442524423167
Herons,69,13,56,18.84057971014493,11.354641477529213,29.61315714303925
Common snapping turtle,68,0,68,0.0,0.0,5.347319658804926
Broad-winged hawk,68,24,44,35.294117647058826,25.001810580154483,47.15916579008227
Pied-billed grebe,68,7,61,10.294117647058822,5.076512677817478,19.758123521821723
Nine-banded armadillo,66,1,65,1.5151515151515151,0.26795715344567483,8.096112398225534
Painted turtle,65,0,65,0.0,0.0,5.580346767071073
Common ground dove,65,0,65,0.0,0.0,5.580346767071073
Marsh wren,65,1,64,1.5384615384615385,0.2720874527486622,8.213479413797147
Spotted sandpiper,64,3,61,4.6875,1.6068725432185196,12.899860788542522
Ring-necked duck,64,27,37,42.1875,30.869593661451578,54.39018794747275
Snowy egret,63,6,57,9.523809523809524,4.43828799438878,19.261922652872805
Cape May warbler,63,0,63,0.0,0.0,5.747319034852547
Sharp-shinned hawk,62,2,60,3.225806451612903,0.8891184997076397,11.020677131018223
Least flycatcher,62,2,60,3.225806451612903,0.8891184997076397,11.020677131018223
Green heron,62,3,59,4.838709677419355,1.6591385000846108,13.288250384754152
Brown thrasher,61,3,58,4.918032786885246,1.6865676835230685,13.49134279370143
Brewer's sparrow,61,0,61,0.0,0.0,5.924591620194442
Violet-green swallow,60,2,58,3.3333333333333335,0.9189126490150246,11.363987528925378
Shorebirds,60,4,56,6.666666666666667,2.6228274143197923,15.925579893767722
Caspian tern,60,3,57,5.0,1.714919117914121,13.700734625099836
Baltimore oriole,60,1,59,1.6666666666666667,0.2948083860873682,8.855338226779477
Virginia rail,60,1,59,1.6666666666666667,0.2948083860873682,8.855338226779477
Chestnut-sided warbler,59,0,59,0.0,0.0,6.113147978409207
Pine siskin,59,2,57,3.389830508474576,0.9345713033501513,11.543786981607585
Common tern,59,2,57,3.389830508474576,0.9345713033501513,11.543786981607585
Common loon,59,32,27,54.23728813559322,41.65761502342809,66.29889785975756
Blue jay,59,1,58,1.694915254237288,0.29981566929815284,8.995937462385317
Tyrant (New World) flycatchers,58,0,58,0.0,0.0,6.211999689529376
Mallard/American black duck complex,58,12,46,20.689655172413794,12.251364354883215,32.76946304932366
Domestic/feral dog,58,16,42,27.586206896551722,17.75220368074619,40.204899628353175
Dickcissel,58,1,57,1.7241379310344827,0.3049959884541764,9.141072677298325
Sanderling,58,1,57,1.7241379310344827,0.3049959884541764,9.141072677298325
"Terns, noddies",57,3,54,5.263157894736842,1.805996809628102,14.369777660471303
Blackburnian warbler,57,0,57,0.0,0.0,6.3141008783463946
Barred owl,57,1,56,1.7543859649122806,0.3103584706680096,9.29096693826272
Pine warbler,57,0,57,0.0,0.0,6.3141008783463946
American tree sparrow,56,0,56,0.0,0.0,6.419614448811528
Gopher tortoise,56,0,56,0.0,0.0,6.419614448811528
Green iguana,54,0,54,0.0,6.938893903907228e-16,6.6415866781001895
American oystercatcher,54,0,54,0.0,6.938893903907228e-16,6.6415866781001895
Eastern towhee,54,2,52,3.7037037037037033,1.0216153585413057,12.535409343403314
Domestic/feral cat,52,0,52,0.0,0.0,6.879459041288214
Great crested flycatcher,52,3,49,5.769230769230769,1.9813812690573196,15.642755575159178
Blue-headed vireo,51,3,48,5.88235294117647,2.0206272864052077,15.924873938941971
Yellow-throated warbler,49,1,48,2.0408163265306123,0.3611579538530696,10.693768467754147
Muskrat,48,0,48,0.0,0.0,7.41026511527422
Cackling goose,47,22,25,46.808510638297875,33.331462168462636,60.767858073229206
Tri-colored bat,47,0,47,0.0,6.938893903907228e-16,7.55601711983887
Glaucous gull,47,5,42,10.638297872340425,4.630409955519942,22.594539692012788
Yellow-bellied flycatcher,46,1,45,2.1739130434782608,0.38477551112426345,11.335554494333024
White ibis,46,5,41,10.869565217391305,4.733076082742689,23.038103012631456
Prairie falcon,45,1,44,2.2222222222222223,0.39334975227575053,11.566946388718813
Unknown terrestrial mammal,45,12,33,26.666666666666668,15.964748860054623,41.03911669717528
Least tern,45,0,45,0.0,0.0,7.865426194064076
Cuckoos,44,6,38,13.636363636363635,6.402867407860049,26.709737521740962
Bufflehead,43,8,35,18.6046511627907,9.74163558010598,32.61729323530596
Gray partridge,43,4,39,9.30232558139535,3.6771045103346514,21.60298839853268
Ruddy turnstone,43,0,43,0.0,0.0,8.201257002322722
Greater sage-grouse,42,12,30,28.57142857142857,17.16685874457567,43.567496077245565
Black-headed grosbeak,42,4,38,9.523809523809524,3.7661638828312096,22.06539522505333
Snow goose/Ross's goose complex,41,30,11,73.17073170731707,58.066174723997065,84.30519471866332
Crested caracara,41,10,31,24.390243902439025,13.824855751022433,39.343630654458195
Greater yellowlegs,41,5,36,12.195121951219512,5.323257997340825,25.544507648844867
Foxes,41,3,38,7.317073170731707,2.5197373252564144,19.427740017211292
Band-tailed pigeon,40,12,28,30.0,18.074670915695297,45.4303106543204
Lesser nighthawk,40,0,40,0.0,0.0,8.762453925039232
Seminole bat,40,0,40,0.0,0.0,8.762453925039232
Western grebe,40,12,28,30.0,18.074670915695297,45.4303106543204
Townsend's warbler,40,0,40,0.0,0.0,8.762453925039232
Mottled duck,40,6,34,15.0,7.061091708507434,29.072626039020026
Winter wren,39,0,39,0.0,0.0,8.966985360023902
Eastern bluebird,39,0,39,0.0,0.0,8.966985360023902
Golden eagle,39,13,26,33.33333333333333,20.632766106915156,49.02289567975947
Black-billed magpie,39,3,36,7.6923076923076925,2.650691407349569,20.32137312805527
Say's phoebe,38,0,38,0.0,0.0,9.181293258383999
Diving duck (Aythya),38,5,33,13.157894736842104,5.753782875731436,27.32717005149887
Common box turtle,38,0,38,0.0,0.0,9.181293258383999
Snakes,37,0,37,0.0,0.0,9.406095745514378
Laysan albatross,37,8,29,21.62162162162162,11.386376851955585,37.19546127387691
Yellow-headed blackbird,37,5,32,13.513513513513514,5.9132072625076235,27.97772747070557
Western/Clark's grebe complex,36,18,18,50.0,34.47406762473052,65.52593237526946
Canada warbler,36,0,36,0.0,0.0,9.642183044857635
Black skimmer,36,1,35,2.7777777777777777,0.4920280295569679,14.170033735030799
American white pelican,36,23,13,63.888888888888886,47.574780390831975,77.52461320781867
Hammond's flycatcher,36,0,36,0.0,0.0,9.642183044857635
Mississippi kite,36,0,36,0.0,0.0,9.642183044857635
Canvasback,36,18,18,50.0,34.47406762473052,65.52593237526946
American alligator,35,3,32,8.571428571428571,2.9581831005296904,22.379599071162517
Gray kingbird,35,1,34,2.857142857142857,0.5061361365853362,14.53340909327131
MacGillivray's warbler,34,0,34,0.0,0.0,10.151790621961016
Clay-colored sparrow,33,0,33,0.0,0.0,10.427343003561191
Common swift,33,2,31,6.0606060606060606,1.6780530429070948,19.606581717798193
Sharp-tailed grouse,33,2,31,6.0606060606060606,1.6780530429070948,19.606581717798193
Pigeons,32,1,31,3.125,0.5537717362550945,15.744607800372734
Black noddy,32,0,32,0.0,0.0,10.71827150573635
Wilson's phalarope,32,8,24,25.0,13.25224398262155,42.10689177024663
Rusty blackbird,32,0,32,0.0,0.0,10.71827150573635
Eared grebe,32,7,25,21.875,11.023696931531854,38.755330790444845
Blue-billed white tern,32,4,28,12.5,4.970053844474301,28.068649784827958
Zenaida dove,32,1,31,3.125,0.5537717362550945,15.744607800372734
American bittern,30,8,22,26.666666666666668,14.182495553910618,44.44830204431169
Black-capped chickadee,30,0,30,0.0,0.0,11.3517091390478
Lesser yellowlegs,30,8,22,26.666666666666668,14.182495553910618,44.44830204431169
Whimbrel,30,2,28,6.666666666666667,1.847663532769335,21.323817721072093
Wood stork,30,10,20,33.33333333333333,19.230295526846195,51.22027418616973
Black-bellied whistling-duck,29,8,21,27.586206896551722,14.69858133850274,45.71747634443597
White-tailed tropicbird,29,15,14,51.724137931034484,34.43073797056916,68.61418066920479
Little blue heron,29,1,28,3.4482758620689653,0.6113056614032262,17.17589106470025
Purple finch,28,0,28,0.0,0.0,12.064720365810762
Bonin petrel,28,0,28,0.0,0.0,12.064720365810762
Nightjars,28,0,28,0.0,0.0,12.064720365810762
Prairie warbler,28,0,28,0.0,0.0,12.064720365810762
Wedge-tailed shearwater,27,0,27,0.0,6.938893903907228e-16,12.455903714463581
Hooded merganser,27,8,19,29.629629629629626,15.852853317647565,48.48103338083759
Willow flycatcher,27,0,27,0.0,6.938893903907228e-16,12.455903714463581
North American porcupine,27,0,27,0.0,6.938893903907228e-16,12.455903714463581
Sedge wren,26,1,25,3.8461538461538463,0.6821808976989876,18.893176991958406
Forster's tern,26,0,26,0.0,0.0,12.873304380462175
Rufous hummingbird,26,0,26,0.0,0.0,12.873304380462175
Short-billed dowitcher,26,6,20,23.076923076923077,11.033699683676687,42.05192575195679
Tundra swan,26,18,8,69.23076923076923,50.01138848576876,83.49887906020732
Northern yellow bat,25,0,25,0.0,0.0,13.319649395317873
Swifts,25,1,24,4.0,0.7096050386699165,19.544472405022525
Long-eared owl,25,4,21,16.0,6.403347608577989,34.65401398023816
Common gray fox,25,2,23,8.0,2.2219933691091933,24.966512122957816
Chuck-will's-widow,25,1,24,4.0,0.7096050386699165,19.544472405022525
Horned grebe,25,6,19,24.0,11.496157730326725,43.43005995523856
Greater scaup,25,4,21,16.0,6.403347608577989,34.65401398023816
Willet,25,1,24,4.0,0.7096050386699165,19.544472405022525
Black drongo,25,0,25,0.0,0.0,13.319649395317873
Black-necked stilt,25,0,25,0.0,0.0,13.319649395317873
White-faced ibis,25,13,12,52.0,33.498217953147304,69.96899607103998
White-rumped sandpiper,24,0,24,0.0,0.0,13.798057582897535
Common poorwill,24,1,23,4.166666666666666,0.7393265354805125,20.242226248842233
Long-billed curlew,24,3,21,12.5,4.344255039315584,31.004288147857572
Western bluebird,24,1,23,4.166666666666666,0.7393265354805125,20.242226248842233
Golden-crowned sparrow,24,0,24,0.0,0.0,13.798057582897535
Alder flycatcher,24,0,24,0.0,0.0,13.798057582897535
Hummingbirds,23,0,23,0.0,0.0,14.312112541726274
Redhead,23,10,13,43.47826086956522,25.634368332198655,63.188950694983035
Acadian flycatcher,23,0,23,0.0,0.0,14.312112541726274
Solitary sandpiper,23,1,22,4.3478260869565215,0.7716466962126745,20.991586494059142
